基金代码,基金名称,基金类型,AXTI占比,存储占比,光芯片/光通信占比,电芯片/核心半导体占比,合计占比,匹配持仓数,核心持仓摘要
159995,芯片ETF华夏,指数型-股票,0.00%,23.87%,0.00%,51.58%,75.45%,14,海光信息(电芯片/核心半导体) 10.09%; 北方华创(电芯片/核心半导体) 9.12%; 中芯国际(电芯片/核心半导体) 8.50%; 兆易创新(存储) 8.00%; 寒武纪(电芯片/核心半导体) 7.34%; 中微公司(电芯片/核心半导体) 7.33%; 澜起科技(存储) 7.29%; 豪威集团(电芯片/核心半导体) 4.20%; 芯原股份(电芯片/核心半导体) 3.55%; 长电科技(存储) 2.96%
014143,银河创新成长混合C,混合型-偏股,0.00%,23.80%,0.00%,49.68%,73.48%,9,中微公司(电芯片/核心半导体) 9.65%; 寒武纪(电芯片/核心半导体) 9.33%; 海光信息(电芯片/核心半导体) 8.91%; 中芯国际(电芯片/核心半导体) 8.84%; 兆易创新(存储) 8.60%; 澜起科技(存储) 8.51%; 北方华创(电芯片/核心半导体) 7.72%; 长电科技(存储) 6.69%; 复旦微电(电芯片/核心半导体) 5.23%
519674,银河创新成长混合A,混合型-偏股,0.00%,23.80%,0.00%,49.68%,73.48%,9,中微公司(电芯片/核心半导体) 9.65%; 寒武纪(电芯片/核心半导体) 9.33%; 海光信息(电芯片/核心半导体) 8.91%; 中芯国际(电芯片/核心半导体) 8.84%; 兆易创新(存储) 8.60%; 澜起科技(存储) 8.51%; 北方华创(电芯片/核心半导体) 7.72%; 长电科技(存储) 6.69%; 复旦微电(电芯片/核心半导体) 5.23%
588200,科创芯片ETF嘉实,指数型-股票,0.00%,15.55%,4.74%,48.91%,69.20%,20,中芯国际(电芯片/核心半导体) 9.80%; 海光信息(电芯片/核心半导体) 9.66%; 寒武纪(电芯片/核心半导体) 9.56%; 澜起科技(存储) 7.80%; 中微公司(电芯片/核心半导体) 7.30%; 芯原股份(电芯片/核心半导体) 4.05%; 佰维存储(存储) 3.77%; 源杰科技(光芯片/光通信) 3.29%; 东芯股份(存储) 1.83%; 仕佳光子(光芯片/光通信) 1.45%
159801,芯片ETF广发,指数型-股票,0.00%,15.22%,0.00%,50.03%,65.25%,9,海光信息(电芯片/核心半导体) 10.04%; 北方华创(电芯片/核心半导体) 9.09%; 中芯国际(电芯片/核心半导体) 8.47%; 兆易创新(存储) 7.96%; 寒武纪(电芯片/核心半导体) 7.33%; 中微公司(电芯片/核心半导体) 7.32%; 澜起科技(存储) 7.26%; 豪威集团(电芯片/核心半导体) 4.19%; 芯原股份(电芯片/核心半导体) 3.59%
017744,嘉实绿色主题股票发起式A,股票型,0.00%,32.07%,0.00%,33.03%,65.10%,9,兆易创新(存储) 9.01%; 普冉股份(存储) 8.27%; 北京君正(存储) 7.88%; 芯原股份(电芯片/核心半导体) 7.87%; 海光信息(电芯片/核心半导体) 7.19%; 澜起科技(存储) 6.91%; 寒武纪(电芯片/核心半导体) 6.64%; 思瑞浦(电芯片/核心半导体) 5.91%; 圣邦股份(电芯片/核心半导体) 5.42%
017745,嘉实绿色主题股票发起式C,股票型,0.00%,32.07%,0.00%,33.03%,65.10%,9,兆易创新(存储) 9.01%; 普冉股份(存储) 8.27%; 北京君正(存储) 7.88%; 芯原股份(电芯片/核心半导体) 7.87%; 海光信息(电芯片/核心半导体) 7.19%; 澜起科技(存储) 6.91%; 寒武纪(电芯片/核心半导体) 6.64%; 思瑞浦(电芯片/核心半导体) 5.91%; 圣邦股份(电芯片/核心半导体) 5.42%
159813,半导体ETF鹏华,指数型-股票,0.00%,15.12%,0.00%,49.74%,64.86%,9,海光信息(电芯片/核心半导体) 9.99%; 北方华创(电芯片/核心半导体) 9.03%; 中芯国际(电芯片/核心半导体) 8.41%; 兆易创新(存储) 7.90%; 寒武纪(电芯片/核心半导体) 7.31%; 中微公司(电芯片/核心半导体) 7.25%; 澜起科技(存储) 7.22%; 豪威集团(电芯片/核心半导体) 4.17%; 芯原股份(电芯片/核心半导体) 3.58%
159665,半导体龙头ETF工银,指数型-股票,0.00%,15.08%,0.00%,49.43%,64.51%,9,海光信息(电芯片/核心半导体) 9.95%; 北方华创(电芯片/核心半导体) 8.99%; 中芯国际(电芯片/核心半导体) 8.38%; 兆易创新(存储) 7.89%; 中微公司(电芯片/核心半导体) 7.25%; 澜起科技(存储) 7.19%; 寒武纪(电芯片/核心半导体) 7.16%; 豪威集团(电芯片/核心半导体) 4.14%; 芯原股份(电芯片/核心半导体) 3.56%
513310,中韩半导体ETF华泰柏瑞,指数型-海外股票,0.00%,41.75%,0.00%,22.43%,64.18%,9,三星电子(存储) 18.84%; SK海力士(存储) 15.53%; 寒武纪(电芯片/核心半导体) 5.06%; 海光信息(电芯片/核心半导体) 4.77%; 北方华创(电芯片/核心半导体) 4.73%; 中芯国际(电芯片/核心半导体) 4.59%; 兆易创新(存储) 3.88%; 澜起科技(存储) 3.50%; 中微公司(电芯片/核心半导体) 3.28%
