基金代码,基金名称,基金类型,证券代码,证券名称,标准名称,主题,占净值比例,持仓市值(万元),持股数(万股),原始重复行数
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,1.56%,,0.83,1
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,MU,美光科技,美光科技,存储,1.77%,,1.94,1
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,NVDA,英伟达,英伟达,电芯片/核心半导体,3.34%,,7.11,1
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,TSM,台积电,台积电ADR,电芯片/核心半导体,2.68%,,2.95,1
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,AVGO,博通,博通,电芯片/核心半导体,2.17%,,2.6,1
000043,嘉实美国成长股票人民币,QDII-普通股票,NVDA,英伟达,英伟达,电芯片/核心半导体,9.97%,,36.7,1
000043,嘉实美国成长股票人民币,QDII-普通股票,AVGO,博通,博通,电芯片/核心半导体,4.86%,,10.07,1
000043,嘉实美国成长股票人民币,QDII-普通股票,TSM,台积电,台积电ADR,电芯片/核心半导体,1.82%,,3.46,1
000044,嘉实美国成长股票美元现汇,QDII-普通股票,NVDA,英伟达,英伟达,电芯片/核心半导体,9.97%,,36.7,1
000044,嘉实美国成长股票美元现汇,QDII-普通股票,AVGO,博通,博通,电芯片/核心半导体,4.86%,,10.07,1
000044,嘉实美国成长股票美元现汇,QDII-普通股票,TSM,台积电,台积电ADR,电芯片/核心半导体,1.82%,,3.46,1
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,SNDK,闪迪,闪迪,存储,3.54%,,12.12,1
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,MU,美光科技,美光科技,存储,3.26%,,20.93,1
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,ASML,阿斯麦,阿斯麦,电芯片/核心半导体,5.21%,,8.57,1
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,NVDA,英伟达,英伟达,电芯片/核心半导体,4.47%,,55.67,1
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,LRCX,拉姆研究,拉姆研究,电芯片/核心半导体,4.01%,,40.72,1
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,AVGO,博通,博通,电芯片/核心半导体,3.27%,,22.94,1
000927,博时大中华亚太精选美元现汇,QDII-普通股票,2330,台积电,台积电,电芯片/核心半导体,7.43%,,3.5,1
000927,博时大中华亚太精选美元现汇,QDII-普通股票,2454,联发科,联发科,电芯片/核心半导体,3.95%,,2.2,1
000934,国富大中华精选混合,QDII-混合偏股,01415,高伟电子,高伟电子,光芯片/光通信,1.84%,,160.5,1
000934,国富大中华精选混合,QDII-混合偏股,2330,台积电,台积电,电芯片/核心半导体,2.25%,,11.8,1
000934,国富大中华精选混合,QDII-混合偏股,TSM,台积电,台积电ADR,电芯片/核心半导体,2.11%,,1.8,1
000948,华夏沪港通恒生ETF联接A,指数型-股票,00981,中芯国际,中芯国际H,电芯片/核心半导体,0.00%,2.24,0.05,1
000988,嘉实全球互联网股票人民币,QDII-普通股票,NVDA,英伟达,英伟达,电芯片/核心半导体,3.26%,,1.9,1
000989,嘉实全球互联网股票美元现汇,QDII-普通股票,NVDA,英伟达,英伟达,电芯片/核心半导体,3.26%,,1.9,1
000990,嘉实全球互联网股票美元现钞,QDII-普通股票,NVDA,英伟达,英伟达,电芯片/核心半导体,3.26%,,1.9,1
001048,富国新兴产业股票A,股票型,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.47%,56334.81,348.65,1
001215,博时沪港深优质企业基金A,混合型-灵活,00981,中芯国际,中芯国际H,电芯片/核心半导体,8.04%,1383.26,30.9,1
001581,华安沪港深通精选灵活配置混合A,混合型-灵活,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,3.66%,581.69,3.6,1
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,MU,美光科技,美光科技,存储,2.21%,,1.86,1
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,NVDA,英伟达,英伟达,电芯片/核心半导体,8.96%,,14.58,1
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,AVGO,博通,博通,电芯片/核心半导体,3.89%,,3.57,1
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,TSM,台积电,台积电ADR,电芯片/核心半导体,3.34%,,2.81,1
001691,南方香港成长灵活配置混合,QDII-混合灵活,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.60%,,57.8,1
001764,广发沪港深新机遇股票,股票型,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,10.79%,6495.51,40.2,1
001811,中欧明睿新常态混合A,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,3.77%,19389.58,120.0,1
001877,宝盈国家安全沪港深股票A,股票型,01347,华虹半导体,华虹半导体,电芯片/核心半导体,4.31%,3286.63,47.94,1
001980,中欧量化驱动混合A,混合型-偏股,01347,华虹半导体,华虹半导体,电芯片/核心半导体,0.29%,205.68,3.0,1
002121,广发沪港深新起点股票A,股票型,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.30%,21086.17,130.5,1
002121,广发沪港深新起点股票A,股票型,01347,华虹半导体,华虹半导体,电芯片/核心半导体,4.49%,15042.3,219.4,1
002214,中海沪港深价值优选混合A,混合型-灵活,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,3.32%,153.5,0.95,1
002214,中海沪港深价值优选混合A,混合型-灵活,00981,中芯国际,中芯国际H,电芯片/核心半导体,5.87%,271.27,6.06,1
002214,中海沪港深价值优选混合A,混合型-灵活,01347,华虹半导体,华虹半导体,电芯片/核心半导体,5.07%,234.16,3.42,1
002230,华夏大中华混合(QDII),QDII-混合灵活,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,4.83%,,0.06,1
002230,华夏大中华混合(QDII),QDII-混合灵活,MU,美光科技,美光科技,存储,6.35%,,0.18,1
002230,华夏大中华混合(QDII),QDII-混合灵活,SNDK,闪迪,闪迪,存储,4.43%,,0.07,1
002230,华夏大中华混合(QDII),QDII-混合灵活,TSM,台积电,台积电ADR,电芯片/核心半导体,7.96%,,0.22,1
002230,华夏大中华混合(QDII),QDII-混合灵活,NVDA,英伟达,英伟达,电芯片/核心半导体,7.30%,,0.39,1
002387,工银沪港深股票A,股票型,00981,中芯国际,中芯国际H,电芯片/核心半导体,5.15%,3187.45,71.2,1
002555,博时沪港深优质企业基金C,混合型-灵活,00981,中芯国际,中芯国际H,电芯片/核心半导体,8.04%,1383.26,30.9,1
002685,中欧丰泓沪港深混合A,混合型-灵活,01347,华虹半导体,华虹半导体,电芯片/核心半导体,6.83%,7541.72,110.0,1
002686,中欧丰泓沪港深混合C,混合型-灵活,01347,华虹半导体,华虹半导体,电芯片/核心半导体,6.83%,7541.72,110.0,1
002891,华夏移动互联混合人民币,QDII-混合灵活,COHR,Coherent Corp,Coherent,光芯片/光通信,7.54%,,3.06,1
002891,华夏移动互联混合人民币,QDII-混合灵活,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,5.79%,,0.8,1
002891,华夏移动互联混合人民币,QDII-混合灵活,GLW,康宁,康宁,光芯片/光通信,5.12%,,3.64,1
002891,华夏移动互联混合人民币,QDII-混合灵活,SNDK,闪迪,闪迪,存储,7.13%,,1.09,1
002891,华夏移动互联混合人民币,QDII-混合灵活,MU,美光科技,美光科技,存储,6.58%,,1.88,1
002891,华夏移动互联混合人民币,QDII-混合灵活,NVDA,英伟达,英伟达,电芯片/核心半导体,4.11%,,2.28,1
002891,华夏移动互联混合人民币,QDII-混合灵活,INTC,英特尔,英特尔,电芯片/核心半导体,3.45%,,7.56,1
002892,华夏移动互联混合美元现汇,QDII-混合灵活,COHR,Coherent Corp,Coherent,光芯片/光通信,7.54%,,3.06,1
002892,华夏移动互联混合美元现汇,QDII-混合灵活,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,5.79%,,0.8,1
002892,华夏移动互联混合美元现汇,QDII-混合灵活,GLW,康宁,康宁,光芯片/光通信,5.12%,,3.64,1
002892,华夏移动互联混合美元现汇,QDII-混合灵活,SNDK,闪迪,闪迪,存储,7.13%,,1.09,1
002892,华夏移动互联混合美元现汇,QDII-混合灵活,MU,美光科技,美光科技,存储,6.58%,,1.88,1
002892,华夏移动互联混合美元现汇,QDII-混合灵活,NVDA,英伟达,英伟达,电芯片/核心半导体,4.11%,,2.28,1
002892,华夏移动互联混合美元现汇,QDII-混合灵活,INTC,英特尔,英特尔,电芯片/核心半导体,3.45%,,7.56,1
002893,华夏移动互联混合美元现钞,QDII-混合灵活,COHR,Coherent Corp,Coherent,光芯片/光通信,7.54%,,3.06,1
002893,华夏移动互联混合美元现钞,QDII-混合灵活,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,5.79%,,0.8,1
002893,华夏移动互联混合美元现钞,QDII-混合灵活,GLW,康宁,康宁,光芯片/光通信,5.12%,,3.64,1
002893,华夏移动互联混合美元现钞,QDII-混合灵活,SNDK,闪迪,闪迪,存储,7.13%,,1.09,1
002893,华夏移动互联混合美元现钞,QDII-混合灵活,MU,美光科技,美光科技,存储,6.58%,,1.88,1
002893,华夏移动互联混合美元现钞,QDII-混合灵活,NVDA,英伟达,英伟达,电芯片/核心半导体,4.11%,,2.28,1
002893,华夏移动互联混合美元现钞,QDII-混合灵活,INTC,英特尔,英特尔,电芯片/核心半导体,3.45%,,7.56,1
003243,摩根中国世纪混合(QDII)人民币,QDII-混合灵活,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.70%,,4.76,1
003244,摩根中国世纪混合(QDII)美元现钞,QDII-混合灵活,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.70%,,4.76,1
003245,摩根中国世纪混合(QDII)美元现汇,QDII-混合灵活,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.70%,,4.76,1
003718,易方达标普500指数美元汇A,指数型-海外股票,NVDA,英伟达,英伟达,电芯片/核心半导体,6.60%,,8.68,1
003718,易方达标普500指数美元汇A,指数型-海外股票,AVGO,博通,博通,电芯片/核心半导体,2.29%,,1.7,1
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,MU,美光科技,美光科技,存储,1.81%,,2.67,1
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,NVDA,英伟达,英伟达,电芯片/核心半导体,20.16%,,57.71,1
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,AVGO,博通,博通,电芯片/核心半导体,6.98%,,11.26,1
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,AMD,超威半导体,超威半导体,电芯片/核心半导体,1.58%,,3.87,1
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,AMAT,应用材料,应用材料,电芯片/核心半导体,1.29%,,1.89,1
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,LRCX,拉姆研究,拉姆研究,电芯片/核心半导体,1.27%,,2.97,1
004091,博时沪港深价值优选A,混合型-灵活,00981,中芯国际,中芯国际H,电芯片/核心半导体,3.68%,196.97,4.4,1
004092,博时沪港深价值优选C,混合型-灵活,00981,中芯国际,中芯国际H,电芯片/核心半导体,3.68%,196.97,4.4,1
004263,华安沪港深机会灵活配置混合,混合型-灵活,00981,中芯国际,中芯国际H,电芯片/核心半导体,5.02%,6108.26,136.45,1
004292,鹏华沪深港互联网股票,股票型,01347,华虹半导体,华虹半导体,电芯片/核心半导体,8.32%,705.28,10.29,1
004292,鹏华沪深港互联网股票,股票型,00981,中芯国际,中芯国际H,电芯片/核心半导体,5.82%,492.86,11.01,1
004616,中欧电子信息产业沪港深股票A,股票型,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,4.03%,10858.17,67.2,1
004616,中欧电子信息产业沪港深股票A,股票型,00981,中芯国际,中芯国际H,电芯片/核心半导体,4.11%,11068.29,247.25,1
004934,圆信永丰消费升级,混合型-灵活,00981,中芯国际,中芯国际H,电芯片/核心半导体,6.19%,980.7,21.91,1
004958,圆信永丰优享生活,混合型-灵活,00981,中芯国际,中芯国际H,电芯片/核心半导体,2.99%,774.44,17.3,1
004996,广发恒生中型股指数C,指数型-股票,01347,华虹半导体,华虹半导体,电芯片/核心半导体,1.55%,75.42,1.1,1
005119,银华智荟内在价值灵活配置混合发起A,混合型-灵活,01347,华虹半导体,华虹半导体,电芯片/核心半导体,3.20%,665.04,9.7,1
005142,国联沪港深大消费主题A,混合型-灵活,00981,中芯国际,中芯国际H,电芯片/核心半导体,4.44%,1432.5,32.0,1
005143,国联沪港深大消费主题C,混合型-灵活,00981,中芯国际,中芯国际H,电芯片/核心半导体,4.44%,1432.5,32.0,1
005197,工银沪港深精选混合A,混合型-灵活,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,3.86%,1510.77,9.35,1
