基金代码,基金名称,基金类型,AXTI占比,海外存储占比,海外光芯片/光通信占比,海外电芯片/核心半导体占比,海外合计占比,匹配持仓数,核心持仓摘要
018147,建信新兴市场混合(QDII)C,QDII-混合偏股,0.00%,20.32%,7.87%,28.92%,57.11%,8,台积电(电芯片/核心半导体) 10.26%; 英伟达(电芯片/核心半导体) 10.14%; SK海力士(存储) 8.65%; 博通(电芯片/核心半导体) 8.52%; 三星电子(存储) 6.76%; 闪迪(存储) 4.91%; 康宁(光芯片/光通信) 4.29%; Lumentum Holdings Inc(光芯片/光通信) 3.58%
539002,建信新兴市场混合(QDII)A,QDII-混合偏股,0.00%,20.32%,7.87%,28.92%,57.11%,8,台积电(电芯片/核心半导体) 10.26%; 英伟达(电芯片/核心半导体) 10.14%; SK海力士(存储) 8.65%; 博通(电芯片/核心半导体) 8.52%; 三星电子(存储) 6.76%; 闪迪(存储) 4.91%; 康宁(光芯片/光通信) 4.29%; Lumentum Holdings Inc(光芯片/光通信) 3.58%
018036,长城全球新能源车股票发起式(QDII)C,QDII-普通股票,0.00%,10.15%,0.00%,35.92%,46.07%,8,台积电(电芯片/核心半导体) 7.44%; 阿斯麦(电芯片/核心半导体) 7.27%; 英伟达(电芯片/核心半导体) 6.99%; 美光科技(存储) 5.95%; 博通(电芯片/核心半导体) 5.45%; 科磊(电芯片/核心半导体) 4.54%; 拉姆研究(电芯片/核心半导体) 4.23%; 闪迪(存储) 4.20%
501226,长城全球新能源车股票发起式(QDII)A,QDII-普通股票,0.00%,10.15%,0.00%,35.92%,46.07%,8,台积电(电芯片/核心半导体) 7.44%; 阿斯麦(电芯片/核心半导体) 7.27%; 英伟达(电芯片/核心半导体) 6.99%; 美光科技(存储) 5.95%; 博通(电芯片/核心半导体) 5.45%; 科磊(电芯片/核心半导体) 4.54%; 拉姆研究(电芯片/核心半导体) 4.23%; 闪迪(存储) 4.20%
022184,富国全球科技互联网股票(QDII)C,QDII-普通股票,0.00%,7.44%,0.00%,34.50%,41.94%,7,台积电(电芯片/核心半导体) 10.06%; 英伟达(电芯片/核心半导体) 9.80%; 超威半导体(电芯片/核心半导体) 7.40%; SK海力士(存储) 4.11%; 英特尔(电芯片/核心半导体) 3.66%; 阿斯麦(电芯片/核心半导体) 3.58%; 三星电子(存储) 3.33%
026228,富国全球科技互联网股票(QDII)D,QDII-普通股票,0.00%,7.44%,0.00%,34.50%,41.94%,7,台积电(电芯片/核心半导体) 10.06%; 英伟达(电芯片/核心半导体) 9.80%; 超威半导体(电芯片/核心半导体) 7.40%; SK海力士(存储) 4.11%; 英特尔(电芯片/核心半导体) 3.66%; 阿斯麦(电芯片/核心半导体) 3.58%; 三星电子(存储) 3.33%
100055,富国全球科技互联网股票(QDII)A,QDII-普通股票,0.00%,7.44%,0.00%,34.50%,41.94%,7,台积电(电芯片/核心半导体) 10.06%; 英伟达(电芯片/核心半导体) 9.80%; 超威半导体(电芯片/核心半导体) 7.40%; SK海力士(存储) 4.11%; 英特尔(电芯片/核心半导体) 3.66%; 阿斯麦(电芯片/核心半导体) 3.58%; 三星电子(存储) 3.33%
008253,华宝致远混合(QDII)A,QDII-混合偏股,0.00%,10.00%,12.69%,18.19%,40.88%,9,英伟达(电芯片/核心半导体) 7.79%; Lumentum Holdings Inc(光芯片/光通信) 7.07%; 闪迪(存储) 5.47%; 美光科技(存储) 4.53%; 博通(电芯片/核心半导体) 4.15%; 台积电(电芯片/核心半导体) 3.89%; 康宁(光芯片/光通信) 2.96%; Coherent Corp(光芯片/光通信) 2.66%; 阿斯麦(电芯片/核心半导体) 2.36%
008254,华宝致远混合(QDII)C,QDII-混合偏股,0.00%,10.00%,12.69%,18.19%,40.88%,9,英伟达(电芯片/核心半导体) 7.79%; Lumentum Holdings Inc(光芯片/光通信) 7.07%; 闪迪(存储) 5.47%; 美光科技(存储) 4.53%; 博通(电芯片/核心半导体) 4.15%; 台积电(电芯片/核心半导体) 3.89%; 康宁(光芯片/光通信) 2.96%; Coherent Corp(光芯片/光通信) 2.66%; 阿斯麦(电芯片/核心半导体) 2.36%
006792,鹏华港美互联股票美元现汇,QDII-普通股票,0.00%,16.06%,0.00%,24.48%,40.54%,6,台积电(电芯片/核心半导体) 9.09%; 英伟达(电芯片/核心半导体) 9.05%; 闪迪(存储) 8.57%; 美光科技(存储) 7.49%; 博通(电芯片/核心半导体) 3.49%; 阿斯麦(电芯片/核心半导体) 2.85%
