基金代码,基金名称,基金类型,证券代码,证券名称,标准名称,主题,占净值比例,持仓市值(万元),持股数(万股),原始重复行数
000001,华夏成长混合,混合型-灵活,300308,中际旭创,中际旭创,光芯片/光通信,4.31%,11388.2,20.0,1
000001,华夏成长混合,混合型-灵活,688012,中微公司,中微公司,电芯片/核心半导体,3.07%,8130.8,26.54,1
000001,华夏成长混合,混合型-灵活,002371,北方华创,北方华创,电芯片/核心半导体,2.78%,7340.99,16.42,1
000001,华夏成长混合,混合型-灵活,688041,海光信息,海光信息,电芯片/核心半导体,2.48%,6568.73,31.24,1
000001,华夏成长混合,混合型-灵活,688120,华海清科,华海清科,电芯片/核心半导体,2.38%,6298.8,36.2,1
000001,华夏成长混合,混合型-灵活,688256,寒武纪,寒武纪,电芯片/核心半导体,2.34%,6197.82,6.31,1
000008,嘉实中证500ETF联接A,指数型-股票,688525,佰维存储,佰维存储,存储,0.01%,18.27,0.09,1
000011,华夏大盘精选混合A,混合型-灵活,300502,新易盛,新易盛,光芯片/光通信,2.75%,10306.84,23.65,1
000011,华夏大盘精选混合A,混合型-灵活,300548,长芯博创,博创科技,光芯片/光通信,2.24%,8398.75,54.84,1
000011,华夏大盘精选混合A,混合型-灵活,688041,海光信息,海光信息,电芯片/核心半导体,3.69%,13847.18,65.86,1
000011,华夏大盘精选混合A,混合型-灵活,002371,北方华创,北方华创,电芯片/核心半导体,2.55%,9574.74,21.42,1
000017,财通可持续混合,混合型-偏股,300502,新易盛,新易盛,光芯片/光通信,8.32%,1262.98,2.85,1
000017,财通可持续混合,混合型-偏股,688498,源杰科技,源杰科技,光芯片/光通信,8.17%,1240.71,1.23,1
000017,财通可持续混合,混合型-偏股,300308,中际旭创,中际旭创,光芯片/光通信,7.50%,1138.82,2.0,1
000017,财通可持续混合,混合型-偏股,688256,寒武纪,寒武纪,电芯片/核心半导体,7.10%,1077.27,1.1,1
000020,景顺长城品质投资混合A,混合型-偏股,300308,中际旭创,中际旭创,光芯片/光通信,3.75%,1560.18,2.74,1
000021,华夏优势增长混合,混合型-偏股,300308,中际旭创,中际旭创,光芯片/光通信,3.41%,17651.71,31.0,1
000021,华夏优势增长混合,混合型-偏股,688120,华海清科,华海清科,电芯片/核心半导体,4.04%,20881.34,120.01,1
000021,华夏优势增长混合,混合型-偏股,002371,北方华创,北方华创,电芯片/核心半导体,3.89%,20116.25,45.0,1
000021,华夏优势增长混合,混合型-偏股,688041,海光信息,海光信息,电芯片/核心半导体,2.12%,10984.38,52.24,1
000021,华夏优势增长混合,混合型-偏股,688256,寒武纪,寒武纪,电芯片/核心半导体,2.07%,10704.18,10.89,1
000028,华富安鑫债券A,债券型-混合二级,300308,中际旭创,中际旭创,光芯片/光通信,0.72%,125.27,0.22,1
