基金代码,基金名称,基金类型,限购额度情况,狭义海外AI占比,扩展海外AI占比,广义离岸AI占比,匹配持仓数,核心持仓摘要
159509,纳指科技ETF景顺,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,60.41%,60.41%,60.41%,10,英伟达 12.69%; 微软 12.12%; 博通 7.25%; Meta Platforms Inc-A 6.79%; 谷歌-A 6.10%; 谷歌-C 5.69%; 美光科技 2.94%; Palantir Technologies Inc-A 2.45%
018036,长城全球新能源车股票发起式(QDII)C,QDII-普通股票,限大额；起购10元；日累计100元；数据日05-22,53.24%,57.44%,57.44%,10,台积电 7.44%; 阿斯麦 7.27%; 英伟达 6.99%; 谷歌-A 6.33%; 美光科技 5.95%; 博通 5.45%; 亚马逊 5.04%; 科磊 4.54%
501226,长城全球新能源车股票发起式(QDII)A,QDII-普通股票,限大额；起购10元；日累计100元；数据日05-22,53.24%,57.44%,57.44%,10,台积电 7.44%; 阿斯麦 7.27%; 英伟达 6.99%; 谷歌-A 6.33%; 美光科技 5.95%; 博通 5.45%; 亚马逊 5.04%; 科磊 4.54%
017437,华宝纳斯达克精选股票发起式(QDII)C,QDII-普通股票,限大额；起购10元；日累计5000元；数据日05-22,48.10%,48.10%,48.10%,7,英伟达 9.28%; 微软 7.50%; 博通 7.43%; 谷歌-C 6.82%; 亚马逊 6.34%; Meta Platforms Inc-A 5.77%; 迈威尔科技 4.96%
017436,华宝纳斯达克精选股票发起式(QDII)A,QDII-普通股票,限大额；起购10元；日累计5000元；数据日05-22,48.10%,48.10%,48.10%,7,英伟达 9.28%; 微软 7.50%; 博通 7.43%; 谷歌-C 6.82%; 亚马逊 6.34%; Meta Platforms Inc-A 5.77%; 迈威尔科技 4.96%
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,暂停申购；当前不可场外申购；数据日05-22,47.76%,47.76%,47.76%,8,英伟达 20.16%; 微软 13.08%; 博通 6.98%; 美光科技 1.81%; Palantir Technologies Inc-A 1.59%; 超威半导体 1.58%; 应用材料 1.29%; 拉姆研究 1.27%
012869,易方达标普信息科技指数(QDII-LOF)C(美元现汇),指数型-海外股票,暂停申购；当前不可场外申购；数据日05-22,47.76%,47.76%,47.76%,8,英伟达 20.16%; 微软 13.08%; 博通 6.98%; 美光科技 1.81%; Palantir Technologies Inc-A 1.59%; 超威半导体 1.58%; 应用材料 1.29%; 拉姆研究 1.27%
012868,易方达标普信息科技指数(QDII-LOF)C(人民币),指数型-海外股票,暂停申购；当前不可场外申购；数据日05-22,47.76%,47.76%,47.76%,8,英伟达 20.16%; 微软 13.08%; 博通 6.98%; 美光科技 1.81%; Palantir Technologies Inc-A 1.59%; 超威半导体 1.58%; 应用材料 1.29%; 拉姆研究 1.27%
161128,易方达标普信息科技指数(QDII-LOF)A(人民币),指数型-海外股票,暂停申购；当前不可场外申购；数据日05-22,47.76%,47.76%,47.76%,8,英伟达 20.16%; 微软 13.08%; 博通 6.98%; 美光科技 1.81%; Palantir Technologies Inc-A 1.59%; 超威半导体 1.58%; 应用材料 1.29%; 拉姆研究 1.27%
022184,富国全球科技互联网股票(QDII)C,QDII-普通股票,限大额；起购10元；日累计500万；数据日05-22,43.51%,50.50%,50.50%,8,台积电 10.06%; 英伟达 9.80%; 谷歌-A 8.56%; 超威半导体 7.40%; SK海力士 4.11%; 英特尔 3.66%; 阿斯麦 3.58%; 三星电子 3.33%
026228,富国全球科技互联网股票(QDII)D,QDII-普通股票,限大额；起购1元；日累计0元；数据日05-22,43.51%,50.50%,50.50%,8,台积电 10.06%; 英伟达 9.80%; 谷歌-A 8.56%; 超威半导体 7.40%; SK海力士 4.11%; 英特尔 3.66%; 阿斯麦 3.58%; 三星电子 3.33%
100055,富国全球科技互联网股票(QDII)A,QDII-普通股票,限大额；起购10元；日累计500万；数据日05-22,43.51%,50.50%,50.50%,8,台积电 10.06%; 英伟达 9.80%; 谷歌-A 8.56%; 超威半导体 7.40%; SK海力士 4.11%; 英特尔 3.66%; 阿斯麦 3.58%; 三星电子 3.33%
016701,银华海外数字经济量化选股混合发起式(QDII)A,QDII-混合偏股,限大额；起购10元；日累计10万；数据日05-22,42.80%,42.80%,42.80%,8,英伟达 9.26%; 谷歌-A 8.06%; 亚马逊 5.62%; 博通 4.69%; 美光科技 3.92%; 台积电 3.90%; 超威半导体 3.71%; 微软 3.64%
016702,银华海外数字经济量化选股混合发起式(QDII)C,QDII-混合偏股,限大额；起购10元；日累计10万；数据日05-22,42.80%,42.80%,42.80%,8,英伟达 9.26%; 谷歌-A 8.06%; 亚马逊 5.62%; 博通 4.69%; 美光科技 3.92%; 台积电 3.90%; 超威半导体 3.71%; 微软 3.64%
159577,美国50ETF汇添富,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,39.95%,39.95%,39.95%,7,英伟达 11.62%; 微软 7.17%; 亚马逊 5.50%; 谷歌-A 4.59%; 谷歌-C 3.83%; 博通 3.82%; Meta Platforms Inc-A 3.42%
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,限大额；起购10元；日累计5000元；数据日05-22,39.86%,39.86%,39.86%,8,英伟达 8.96%; 谷歌-A 8.14%; 微软 5.00%; 亚马逊 4.84%; 博通 3.89%; Meta Platforms Inc-A 3.48%; 台积电 3.34%; 美光科技 2.21%
006426,汇添富全球移动互联混合(QDII)美元现汇,QDII-混合灵活,暂停申购；当前不可场外申购；数据日05-22,39.86%,39.86%,39.86%,8,英伟达 8.96%; 谷歌-A 8.14%; 微软 5.00%; 亚马逊 4.84%; 博通 3.89%; Meta Platforms Inc-A 3.48%; 台积电 3.34%; 美光科技 2.21%
015202,汇添富全球移动互联混合(QDII)人民币C,QDII-混合灵活,限大额；起购10元；日累计5000元；数据日05-22,39.86%,39.86%,39.86%,8,英伟达 8.96%; 谷歌-A 8.14%; 微软 5.00%; 亚马逊 4.84%; 博通 3.89%; Meta Platforms Inc-A 3.48%; 台积电 3.34%; 美光科技 2.21%
015203,汇添富全球移动互联混合(QDII)人民币D,QDII-混合灵活,限大额；起购1元；日累计0元；数据日05-22,39.86%,39.86%,39.86%,8,英伟达 8.96%; 谷歌-A 8.14%; 微软 5.00%; 亚马逊 4.84%; 博通 3.89%; Meta Platforms Inc-A 3.48%; 台积电 3.34%; 美光科技 2.21%
