基金代码,基金名称,基金类型,证券代码,证券名称,口径,分类,占净值比例,原始重复行数,原始最大行序号
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,NVDA,英伟达,狭义海外AI,核心算力-GPU,3.34%,1,1
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,AMZN,亚马逊,狭义海外AI,AI云,2.99%,1,2
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,2.94%,1,3
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,MSFT,微软,狭义海外AI,AI云/软件,2.76%,1,4
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,TSM,台积电,狭义海外AI,先进制程代工,2.68%,1,5
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,AVGO,博通,狭义海外AI,AI网络/ASIC,2.17%,1,7
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,MU,美光科技,狭义海外AI,AI存储/HBM,1.77%,1,8
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,LITE,Lumentum Holdings Inc,扩展海外AI,光通信器件,1.56%,1,10
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,GOOG,谷歌-C,狭义海外AI,AI云/大模型,0.41%,1,11
000043,嘉实美国成长股票人民币,QDII-普通股票,NVDA,英伟达,狭义海外AI,核心算力-GPU,9.97%,1,1
000043,嘉实美国成长股票人民币,QDII-普通股票,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,6.20%,1,3
000043,嘉实美国成长股票人民币,QDII-普通股票,MSFT,微软,狭义海外AI,AI云/软件,6.17%,1,4
000043,嘉实美国成长股票人民币,QDII-普通股票,AVGO,博通,狭义海外AI,AI网络/ASIC,4.86%,1,5
000043,嘉实美国成长股票人民币,QDII-普通股票,AMZN,亚马逊,狭义海外AI,AI云,4.04%,1,6
000043,嘉实美国成长股票人民币,QDII-普通股票,GOOG,谷歌-C,狭义海外AI,AI云/大模型,2.90%,1,8
000043,嘉实美国成长股票人民币,QDII-普通股票,META,Meta Platforms Inc-A,狭义海外AI,AI平台,2.84%,1,9
000043,嘉实美国成长股票人民币,QDII-普通股票,TSM,台积电,狭义海外AI,先进制程代工,1.82%,1,11
000044,嘉实美国成长股票美元现汇,QDII-普通股票,NVDA,英伟达,狭义海外AI,核心算力-GPU,9.97%,1,1
000044,嘉实美国成长股票美元现汇,QDII-普通股票,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,6.20%,1,3
000044,嘉实美国成长股票美元现汇,QDII-普通股票,MSFT,微软,狭义海外AI,AI云/软件,6.17%,1,4
